Wall time,Step,Value
1700734890.4756143,9433,156277.34375
1700734904.8661013,9443,269147.0
1700734919.5779412,9460,146669.953125
1700734934.7908258,9478,91073.171875
1700734950.8236508,9499,233416.375
1700734965.4074576,9515,351205.4375
1700734980.070382,9534,112885.4375
1700734996.8892365,9543,142830.4375
1700735010.0243037,9562,202831.859375
1700735024.6074698,9582,129718.59375
1700735040.3277552,9601,155295.3125
1700735055.3675082,9622,106751.578125
1700735069.6288714,9644,165236.84375
1700735085.2672753,9663,190394.46875
1700735099.8632455,9678,160890.25
1700735114.8312905,9693,201580.46875
1700735130.2468104,9712,201810.59375
1700735145.172067,9726,156385.03125
1700735160.41791,9741,122732.078125
1700735175.8283513,9757,127041.84375
1700735191.7680275,9774,166888.625
1700735205.0599282,9787,183447.03125
1700735220.0046434,9803,185066.53125
1700735235.968678,9821,167390.8125
1700735251.2347407,9840,89581.78125
1700735264.725573,9854,180202.34375
1700735280.5340893,9875,281304.3125
1700735297.1269114,9892,257884.0625
1700735309.6870747,9903,272655.625
1700735325.1816463,9918,165123.375
1700735342.0069425,9937,216206.125
1700735354.5627522,9951,157114.25
1700735369.826056,9964,117091.4921875
1700735387.6597943,9981,160518.59375
1700735399.8020403,9994,124512.75
