Wall time,Step,Value
1700740973.6603096,4080,614125.75
1700740987.0241487,4097,441195.03125
1700741002.8039987,4117,884758.25
1700741016.9563603,4138,618341.0
1700741032.589266,4153,610690.25
1700741046.9562693,4174,1029062.75
1700741062.793506,4194,793139.375
1700741077.324315,4219,600802.875
1700741093.7270393,4240,1768641.25
1700741108.1747057,4259,1219260.0
1700741123.1847324,4275,737947.875
1700741138.4178429,4290,631542.3125
1700741152.0565326,4309,477706.15625
1700741168.11235,4326,545965.875
1700741182.347708,4341,261404.65625
1700741197.8822095,4361,524412.3125
1700741212.955556,4381,459300.09375
1700741227.1272068,4397,756361.375
1700741242.4697769,4422,491524.21875
1700741257.6842322,4438,455328.09375
1700741272.0544834,4455,540280.5
1700741287.3184898,4475,715784.25
1700741301.9847174,4494,700191.0625
1700741317.4782004,4516,755018.5
1700741332.9799953,4530,543351.625
1700741348.5765698,4553,2258250.5
1700741362.1640735,4568,505385.75
1700741377.5446262,4590,520630.96875
1700741392.1411242,4614,305753.75
1700741407.746062,4632,1039276.5
1700741423.0572472,4650,653838.4375
1700741438.8525264,4661,582058.3125
1700741453.4089239,4683,1011184.8125
1700741467.1017458,4698,554949.0
1700741482.2630315,4718,1126063.75
1700741496.960325,4742,411322.9375
1700741513.0971732,4761,906538.0
1700741527.0713139,4779,276702.8125
1700741543.0062416,4797,786464.9375
1700741560.5752614,4814,21088584.0
1700741572.4432578,4826,412188.0
1700741587.0940316,4851,537600.5
1700741601.8978536,4872,500954.75
1700741618.1200638,4892,688228.625
1700741633.0118103,4916,206509.0
1700741649.670975,4936,641097.375
1700741663.1868896,4953,426056.0
1700741677.9566882,4967,493504.6875
1700741694.1458344,4975,540105.1875
1700741708.7754283,4999,539559.3125
1700741722.3732078,5009,447073.25
1700741738.7726111,5028,585355.5
1700741753.5395727,5049,572604.125
1700741767.090099,5070,290435.875
1700741782.46937,5088,413547.25
1700741797.9828935,5109,1110392.875
1700741812.7286482,5130,478898.0625
1700741827.4854903,5152,484022.03125
1700741842.8982227,5171,300463.0625
1700741859.6856632,5186,1025482.375
1700741875.9034598,5199,1050460.0
1700741887.113853,5210,469907.6875
1700741903.0862002,5225,562071.375
1700741916.963573,5248,960174.25
1700741932.1944296,5270,469398.875
1700741947.1670356,5290,407772.875
1700741965.5692043,5316,1187917.75
1700741977.1289444,5329,327773.875
1700741996.924531,5348,246024.546875
1700742009.830513,5360,403488.75
1700742022.2978263,5371,634204.5
1700742037.5542755,5391,484659.0
1700742053.069325,5409,1016219.375
1700742067.0759022,5426,701167.5625
1700742086.4700515,5442,384900.75
1700742097.4610631,5455,729563.5625
1700742115.1008134,5474,224235.4375
1700742127.1446817,5487,419183.8125
1700742143.3289557,5505,1493073.0
1700742156.9719625,5527,525016.1875
1700742172.319447,5542,414668.4375
1700742187.6565473,5554,773686.0
1700742202.0344985,5572,1091234.625
1700742217.9091423,5585,681896.75
1700742232.1514776,5605,2186723.75
1700742247.0215023,5621,309415.75
1700742262.9679515,5636,308564.5
1700742276.967186,5658,309711.1875
1700742292.2274365,5681,318252.46875
1700742307.6907895,5699,410355.75
1700742322.7885687,5717,436401.25
1700742337.0286224,5733,447012.625
1700742353.3658319,5750,506891.34375
1700742368.6960404,5768,423088.34375
1700742383.527476,5785,1875662.25
1700742397.0731878,5809,438229.78125
1700742412.0079734,5825,473950.5625
1700742428.0399797,5838,663944.5625
1700742442.6249077,5860,898293.5
1700742459.2696755,5875,1234510.75
1700742473.708096,5893,501722.0
1700742489.681115,5911,530085.875
1700742502.122612,5925,489759.1875
1700742519.3287468,5949,849362.875
1700742534.7139356,5974,995819.125
1700742547.316733,5994,849228.25
1700742562.217063,6017,491976.28125
1700742579.4180374,6035,540960.5
1700742592.5413518,6045,673877.5
1700742608.547709,6061,927969.0
1700742623.7803247,6081,448290.0
1700742638.9183881,6099,220259.0625
1700742652.1755714,6119,494012.5
1700742669.0883389,6136,282218.0
1700742682.6663935,6149,373397.0625
1700742697.5975158,6167,5240108.0
1700742712.2995367,6181,847377.25
1700742727.1873193,6195,618957.625
1700742744.9447236,6212,421489.5625
1700742757.2711756,6227,349885.75
1700742772.7727606,6242,364669.8125
1700742787.1180115,6265,251354.03125
1700742802.0963838,6291,228710.875
1700742817.2144556,6309,350168.0625
1700742833.1137137,6334,326843.8125
1700742847.0318115,6357,311632.125
1700742862.1380427,6377,469240.96875
1700742878.7475324,6393,362998.1875
1700742892.8217041,6405,552515.0
1700742911.067098,6420,697862.125
1700742922.5623937,6428,941192.5625
1700742939.1015744,6450,492325.75
1700742952.162088,6464,508230.75
1700742967.9161048,6483,177277.890625
1700742982.549828,6496,327769.4375
1700742997.4419925,6507,254946.59375
1700743012.3373952,6531,354069.84375
1700743027.142081,6547,495309.96875
1700743042.3773873,6564,833119.3125
1700743058.9609,6582,421493.1875
1700743074.537017,6601,330360.1875
1700743087.258986,6621,517961.71875
1700743102.987978,6644,689367.5625
1700743120.903169,6652,436957.3125
1700743132.0720885,6665,6486420.0
1700743147.824111,6687,210821.515625
1700743162.362883,6705,515066.71875
1700743179.425339,6718,2811115.5
1700743195.3353083,6738,787038.625
1700743207.780739,6749,575970.6875
1700743224.760405,6768,257078.5
1700743237.8812327,6782,1901102.875
1700743252.2446034,6801,535780.0625
1700743267.2902136,6822,2313269.25
1700743282.5966506,6841,510718.6875
1700743297.3598814,6865,2180001.0
1700743314.1624749,6881,228768.90625
1700743328.2584183,6900,1413707.375
1700743342.0908828,6915,644125.25
1700743357.142124,6933,288562.3125
1700743373.0545597,6953,631089.75
1700743387.60351,6971,536927.625
1700743402.2245111,6989,597054.875
1700743417.355687,7007,333960.875
1700743433.677752,7026,626738.875
1700743447.688381,7043,692648.4375
1700743463.6339862,7062,302764.0
1700743477.0580065,7085,1860066.5
1700743494.4566188,7105,499918.9375
1700743507.3057334,7122,233089.375
1700743523.6388042,7143,318076.5
1700743537.909066,7162,202191.28125
1700743552.0819104,7184,446892.5625
1700743567.2203064,7200,1303197.75
1700743582.0664525,7218,871078.8125
1700743597.1432443,7240,633886.8125
1700743612.3513687,7260,306773.8125
1700743627.478524,7274,425997.0625
1700743645.3026955,7293,1053923.5
1700743657.087987,7305,1561583.5
1700743674.2558868,7327,291872.40625
1700743687.0262668,7350,380378.875
1700743704.527418,7368,1034400.6875
1700743717.7300215,7390,665322.8125
1700743735.6647136,7409,342327.9375
1700743747.8238564,7429,304031.6875
1700743762.3640218,7443,416812.6875
1700743779.4837794,7463,160802.5
1700743792.4427547,7473,289833.5
1700743809.1381135,7495,300145.5625
1700743822.0409029,7513,2115948.75
1700743839.125169,7530,761997.75
1700743852.1255553,7548,421070.1875
1700743867.583957,7562,306834.6875
1700743882.734957,7584,3406587.0
1700743896.9848633,7602,672713.5
1700743912.7668324,7617,238616.0625
1700743928.4859083,7636,903679.0
1700743943.941986,7660,681153.25
1700743958.7919998,7675,697464.125
1700743972.429071,7699,405232.75
1700743987.3134022,7718,831697.25
1700744002.267174,7726,501968.5625
1700744018.9959743,7744,424480.8125
1700744032.129529,7763,205437.09375
1700744048.699855,7778,487798.0
1700744062.6081712,7802,239169.453125
1700744078.6307561,7815,356148.03125
1700744094.2163343,7834,737055.125
1700744107.3362718,7848,272915.9375
1700744123.5123022,7866,663715.25
1700744139.2914915,7883,754949.625
1700744152.5327218,7895,866113.1875
1700744167.571441,7913,400064.84375
1700744181.9755495,7934,418636.6875
1700744198.376218,7951,1247731.25
1700744211.9584656,7971,849014.875
1700744228.1374297,7989,177258.796875
1700744244.1824808,8009,715817.75
1700744257.2794027,8023,636838.375
1700744272.5636985,8043,645728.1875
1700744287.010512,8061,847419.8125
1700744303.8332043,8079,660247.125
1700744317.455107,8094,278072.5
1700744335.4072347,8112,660193.375
1700744347.6702328,8127,388795.125
1700744362.9549534,8140,707654.1875
1700744377.5820692,8157,2703577.5
1700744393.1133056,8177,351352.6875
1700744409.501822,8191,340092.0
1700744422.2422526,8206,1108656.125
1700744438.2870877,8220,574380.375
1700744453.2658908,8240,597574.625
1700744467.0662403,8252,336777.125
1700744485.0078678,8271,354783.09375
1700744500.1699057,8289,689331.625
1700744512.5329125,8299,383232.78125
1700744529.119426,8316,278572.8125
1700744542.0910351,8328,248487.21875
1700744557.1772878,8348,1254566.0
1700744573.0296388,8370,498091.125
1700744587.0416782,8389,453669.8125
1700744602.112672,8409,464988.875
1700744620.1570933,8424,369538.875
1700744632.8214502,8436,546029.5
1700744647.2704582,8457,3299405.0
1700744662.8912697,8474,481653.0625
1700744677.1270025,8493,814794.3125
1700744694.7038007,8514,250055.28125
1700744706.9263914,8529,577911.3125
1700744722.5865092,8546,529204.625
1700744738.9906974,8569,584156.625
1700744752.3856647,8583,288732.75
1700744767.9944224,8593,504551.4375
1700744782.2174728,8614,426367.125
1700744797.7787783,8628,376275.5
1700744813.3226979,8641,665160.6875
